"Data";"BR"
"2020-02-26 00:00:00";0
"2020-02-27 00:00:00";0
"2020-02-28 00:00:00";0
"2020-02-29 00:00:00";0
"2020-03-01 00:00:00";0
"2020-03-02 00:00:00";0
"2020-03-03 00:00:00";0
"2020-03-04 00:00:00";0
"2020-03-05 00:00:00";0
"2020-03-06 00:00:00";0
"2020-03-07 00:00:00";0
"2020-03-08 00:00:00";0
"2020-03-09 00:00:00";0
"2020-03-10 00:00:00";0
"2020-03-11 00:00:00";0
"2020-03-12 00:00:00";0
"2020-03-13 00:00:00";0
"2020-03-14 00:00:00";0
"2020-03-15 00:00:00";0
"2020-03-16 00:00:00";0
"2020-03-17 00:00:00";1
"2020-03-18 00:00:00";3
"2020-03-19 00:00:00";2
"2020-03-20 00:00:00";5
"2020-03-21 00:00:00";7
"2020-03-22 00:00:00";7
"2020-03-23 00:00:00";9
"2020-03-24 00:00:00";12
"2020-03-25 00:00:00";11
"2020-03-26 00:00:00";20
"2020-03-27 00:00:00";15
"2020-03-28 00:00:00";22
"2020-03-29 00:00:00";22
"2020-03-30 00:00:00";23
"2020-03-31 00:00:00";42
"2020-04-01 00:00:00";40
"2020-04-02 00:00:00";58
"2020-04-03 00:00:00";60
"2020-04-04 00:00:00";73
"2020-04-05 00:00:00";54
"2020-04-06 00:00:00";67
"2020-04-07 00:00:00";114
"2020-04-08 00:00:00";133
"2020-04-09 00:00:00";141
"2020-04-10 00:00:00";115
"2020-04-11 00:00:00";68
"2020-04-12 00:00:00";99
"2020-04-13 00:00:00";105
"2020-04-14 00:00:00";204
"2020-04-15 00:00:00";204
"2020-04-16 00:00:00";188
"2020-04-17 00:00:00";217
"2020-04-18 00:00:00";206
"2020-04-19 00:00:00";115
"2020-04-20 00:00:00";113
"2020-04-21 00:00:00";166
"2020-04-22 00:00:00";165
"2020-04-23 00:00:00";407
"2020-04-24 00:00:00";357
"2020-04-25 00:00:00";346
"2020-04-26 00:00:00";189
"2020-04-27 00:00:00";338
"2020-04-28 00:00:00";474
"2020-04-29 00:00:00";449
"2020-04-30 00:00:00";435
"2020-05-01 00:00:00";428
"2020-05-02 00:00:00";395
"2020-05-03 00:00:00";301
"2020-05-04 00:00:00";296
"2020-05-05 00:00:00";600
"2020-05-06 00:00:00";614
"2020-05-07 00:00:00";611
"2020-05-08 00:00:00";749
"2020-05-09 00:00:00";732
"2020-05-10 00:00:00";496
"2020-05-11 00:00:00";396
"2020-05-12 00:00:00";881
"2020-05-13 00:00:00";749
"2020-05-14 00:00:00";844
"2020-05-15 00:00:00";824
"2020-05-16 00:00:00";816
"2020-05-17 00:00:00";485
"2020-05-18 00:00:00";674
"2020-05-19 00:00:00";1179
"2020-05-20 00:00:00";888
"2020-05-21 00:00:00";1188
"2020-05-22 00:00:00";999
"2020-05-23 00:00:00";967
"2020-05-24 00:00:00";653
"2020-05-25 00:00:00";807
"2020-05-26 00:00:00";1039
"2020-05-27 00:00:00";1086
"2020-05-28 00:00:00";1156
"2020-05-29 00:00:00";1124
"2020-05-30 00:00:00";956
"2020-05-31 00:00:00";480
"2020-06-01 00:00:00";623
"2020-06-02 00:00:00";1262
"2020-06-03 00:00:00";1349
"2020-06-04 00:00:00";1473
"2020-06-05 00:00:00";1005
"2020-06-06 00:00:00";904
"2020-06-07 00:00:00";525
"2020-06-08 00:00:00";679
"2020-06-09 00:00:00";1272
"2020-06-10 00:00:00";1274
"2020-06-11 00:00:00";1239
"2020-06-12 00:00:00";909
"2020-06-13 00:00:00";892
"2020-06-14 00:00:00";612
"2020-06-15 00:00:00";627
"2020-06-16 00:00:00";1282
"2020-06-17 00:00:00";1269
"2020-06-18 00:00:00";1238
"2020-06-19 00:00:00";1206
"2020-06-20 00:00:00";1022
"2020-06-21 00:00:00";641
"2020-06-22 00:00:00";654
"2020-06-23 00:00:00";1374
"2020-06-24 00:00:00";1185
"2020-06-25 00:00:00";1141
"2020-06-26 00:00:00";990
"2020-06-27 00:00:00";1109
