
1;264;316;419
2;232;289;431
3;238;274;449
4;209;277;410
5;214;326;446
6;216;336;508
7;253;485;627
8;307;682;858
9;383;802;1064
10;516;872;1885
11;554;943;4746
12;703;1065;12057
13;799;1128;14384
14;1285;1355;15709
15;1626;1367;18902
16;1960;1552;23972
17;1896;1564;29917
18;2111;1718;33984
19;2009;1773;33559
20;2143;1893;35865
21;2069;2021;32335
22;1923;2074;29801
23;1834;1905;33897
24;1875;1890;32301
25;1981;1650;34359
26;1789;1446;31195
27;1817;1332;35925
28;1513;1330;36013
29;1378;1191;33672
30;1050;1010;33237
31;1005;890;31480
32;867;889;29462
33;912;900;30445
34;853;861;27672
35;750;785;25742
36;636;759;25920
37;699;733;23470
38;626;650;21735
39;498;597;21015
40;528;650;21690
41;521;584;20223
42;592;572;18249
43;519;558;18544
44;493;518;17562
45;466;446;21459
46;458;440;23482
47;484;460;25602
48;414;422;23653
49;459;451;22905
50;452;417;14471
51;334;376;4031
52;259;323
